tracking_id	AU-Ma-4C_FPKM	AU-Ma-30C_FPKM	AU-Fe-4C_FPKM	AU-Fe-30C_FPKM	SU-Fe-4C_FPKM	SU-Fe-30C_FPKM	SU-Hem-4C_FPKM	SU-Hem-30C_FPKM
evm.TU.contig_32025	0.320795	0.607569	1.50933	3.08277	6.17345	5.20476	7.60109	2.40776
evm.TU.contig_32032	115.217	136.191	130.588	91.9353	42.7296	74.4773	36.1849	84.4329
evm.TU.contig_32037	85.2772	70.3318	131.932	76.1526	100.872	89.8228	78.9964	103.643
evm.TU.contig_32078	3.0933	0	0	0	7.00809	0	0	0
evm.TU.contig_32082	24.6951	26.9369	28.7923	30.1534	18.2804	30.1476	19.7774	29.6508
evm.TU.contig_32097	65.4196	27.9368	87.7066	23.5526	41.6537	22.9275	43.6432	18.9125
evm.TU.contig_32123	0	0	0	0	0	0	0	0
evm.TU.contig_32159	383.479	112.173	633.816	128.526	113.207	64.5893	174.953	58.301
evm.TU.contig_32163	30.1137	46.4137	35.6601	52.7942	63.7341	65.3186	60.1477	62.9233
evm.TU.contig_32183	11.2205	7.40338	6.77811	3.74573	10.5798	2.21355	6.09576	3.47264
evm.TU.contig_32193	25.097	28.1554	29.0639	22.1424	14.9867	22.6192	18.4575	21.7881
evm.TU.contig_32206	0	0	0	0	0	0	0	0
evm.TU.contig_32211	0.608525	0	0.402446	0	0.766294	0	0.209854	0
evm.TU.contig_32212	7.84235	3.56399	5.18741	5.72878	2.71967	4.09752	3.10536	3.34307
evm.TU.contig_32220	0	0	0	0	0	0	0	0
evm.TU.contig_32224	0.147826	0	0.48346	0	0.365296	0	0.210971	0
evm.TU.contig_32225	20.7219	40.0437	10.5363	36.0746	6.0368	4.44545	3.35611	8.86475
evm.TU.contig_32252	11.8176	7.9286	10.296	6.1949	5.86628	3.32053	5.31853	4.12846
evm.TU.contig_32256	1721.1	55.541	1740.99	43.432	889.794	37.4322	854.99	48.7115
evm.TU.contig_32259	13.3315	31.4229	12.7366	28.2161	6.69506	27.9625	11.9647	23.3566
evm.TU.contig_32265	25.9176	58.7603	28.0342	53.7259	32.5185	43.4387	30.7362	58.1089
evm.TU.contig_32276	0	0	0	0	0	0	0	0
evm.TU.contig_32277	0	0.0668918	0.233608	0	0.141025	0	0	0
evm.TU.contig_32282	0	0	2.04735	0	0.721871	0	0	0
evm.TU.contig_32285	0	0	0	0	0	0	0	0
evm.TU.contig_32310	7.21148	1.51472	12.032	1.53357	4.27489	4.78866	6.26965	4.87658
evm.TU.contig_32321	0.801999	8.10834	1.62536	9.15882	1.20299	2.25444	1.88753	2.41064
evm.TU.contig_32328	0	0	0	0	0	0	0	0
evm.TU.contig_32331	42.9841	31.4504	47.1015	27.8968	41.3475	31.9129	35.8627	37.3597
evm.TU.contig_32334	0.147911	12.4106	0.566293	1.82537	3.56514	0.0512553	0.285704	1.15425
evm.TU.contig_32339	0.0447311	0.0328975	0	0	0.205821	0.0368292	0	0.040472
evm.TU.contig_32354	0	0	0	0	0	0	0	0
evm.TU.contig_32357	0	0	0	0	0	0	0	0
evm.TU.contig_32361	415.651	1874.74	399.33	1997.55	707.302	1295.56	649.878	1521.58
evm.TU.contig_32363	12.451	15.9916	14.6789	15.6109	3.07886	7.83364	3.80876	6.92779
evm.TU.contig_32367	14.6366	27.0171	18.7033	26.285	19.227	30.345	20.7622	29.8809
evm.TU.contig_32372	88.1342	53.2205	98.2164	47.8223	143.698	54.2329	178.407	57.6159
evm.TU.contig_32448	17.3627	63.82	26.5264	64.3214	22.8405	35.5074	23.6775	40.8787
evm.TU.contig_32453	13.2315	23.2909	16.7303	21.3369	5.15947	14.7259	6.21488	16.3536
evm.TU.contig_32472	0	0	0	0	0	0	0	0
evm.TU.contig_32481	0	0	0	0	0	0	0	0
evm.TU.contig_32496	12.8117	14.1665	13.5077	16.9657	10.5351	15.9483	11.1431	15.9153
evm.TU.contig_32512	92.1753	155.715	154.6	115.599	44.0133	67.4919	31.784	85.9583
evm.TU.contig_32528	29.3762	29.3678	32.9939	33.9656	26.82	31.3088	32.6377	36.4217
evm.TU.contig_32529	0	0	0	0	0	0	0	0
evm.TU.contig_32539	24.8981	60.7107	25.9601	70.2065	11.7608	50.5512	20.2789	60.056
evm.TU.contig_32553	0	0	0	0	0	0	0	0
evm.TU.contig_32569	0.431992	0	0	0	0	0	0	0
evm.TU.contig_32577	0	0	0	0	0	0	0	0
evm.TU.contig_32583	20.0097	7.45362	15.9703	7.16909	5.15746	2.40176	4.14651	1.94446
evm.TU.contig_32589	109.716	150.703	100.171	163.297	94.8031	97.1425	115.468	108.554
evm.TU.contig_32595	3.04386	0.326406	0.655337	0.403271	4.4415	0.0978635	0.392705	0
evm.TU.contig_32618	0	0	4.37588	0	0.464537	0	0	0
evm.TU.contig_32646	3.58126	1.56694	11.0379	3.52705	9.64664	1.66923	3.86942	0.776712
evm.TU.contig_32648	20.2197	20.0519	22.5464	20.9575	13.6555	16.923	17.1087	18.387
evm.TU.contig_32653	0.563119	0.253027	0.509042	0.534289	0.116579	0	0.0630673	0
evm.TU.contig_32663	0	0	0	0	0	0	0	0
evm.TU.contig_32688	0	0	0	0	0	0	0	0
evm.TU.contig_32689	108.967	94.1468	142.425	91.8895	72.7601	97.328	89.3635	88.7641
evm.TU.contig_32701	0	0	0	0	0	0	0	0
evm.TU.contig_32708	6.28514	11.4508	7.05461	12.7613	5.59905	12.5989	6.84467	12.7735
evm.TU.contig_32738	0.968884	0	0.619294	0	2.83148	0	0.42547	0
evm.TU.contig_32740	0	0	0	0	0	0	0	0
evm.TU.contig_32742	278.362	263.415	183.409	225.202	348.88	207.029	238.626	201.209
evm.TU.contig_32761	20.2657	31.2354	24.0087	41.6016	28.6548	24.4672	35.5958	24.5422
evm.TU.contig_32775	16132.3	11719.7	29174	16076	17200	12263.7	5380.99	8442.62
evm.TU.contig_32791	212.994	218.892	279.552	230.652	208.996	181.381	176.202	233.614
evm.TU.contig_32795	0	0	0	0	0	0	0	0
evm.TU.contig_32800	0.785744	1.16356	0.798497	1.35703	0.751121	0.953893	0.756082	1.22817
evm.TU.contig_32815	0	0	0	0	0	0	0	0
evm.TU.contig_32826	0.788613	0.501389	0.0353656	1.22826	0.33266	0.441356	0.130308	0.374316
